,zero,one,two,three,four,five,six,seven,eight,nine,nums,chars,upper,lower,special,strength
293,0,0,0,0,0,0,0,1,0,0,1,9,0,9,0,1
294,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0
295,0,0,0,2,0,0,0,0,0,0,2,9,0,9,0,1
296,0,1,1,0,0,0,0,0,0,0,2,7,0,7,0,1
297,0,1,1,0,0,0,0,0,1,1,4,8,0,8,0,1
298,0,1,0,0,0,0,0,1,1,1,4,6,0,6,0,1
299,1,1,0,0,0,0,1,0,1,0,4,6,0,6,0,1
300,1,0,0,0,0,1,0,0,0,0,2,14,9,5,0,2
301,1,0,0,0,0,0,1,0,0,0,2,4,0,4,0,0
302,0,0,0,0,0,0,0,1,2,0,3,6,0,6,0,1
303,1,2,0,0,0,0,0,0,0,0,3,7,0,7,0,1
304,0,2,1,1,0,0,0,0,0,0,4,7,0,7,0,1
305,0,1,1,0,1,0,0,0,0,0,3,7,0,7,0,1
306,0,0,1,0,1,1,0,0,1,0,4,16,10,6,0,2
307,0,1,1,1,0,0,0,0,0,0,3,21,7,14,0,2
308,1,1,0,0,0,0,0,0,0,0,2,5,0,5,0,0
309,0,1,1,0,0,0,0,0,0,0,2,6,0,6,0,1
310,0,0,0,0,1,2,2,0,2,0,7,1,0,1,0,1
311,0,0,0,0,0,0,0,0,1,1,2,6,0,6,0,1
312,0,0,0,0,0,1,0,0,0,1,2,6,0,6,0,1
313,0,0,2,0,0,0,0,0,0,1,3,6,0,6,0,1
314,0,1,0,0,0,0,1,0,0,0,2,7,0,7,0,1
315,1,0,0,0,0,0,0,0,0,1,2,6,0,6,0,1
316,0,1,1,1,0,0,0,0,0,0,3,10,0,10,1,2
317,2,0,0,0,0,0,0,1,0,0,3,7,0,7,0,1
318,0,0,1,0,0,0,1,0,0,0,2,8,0,8,0,1
319,0,1,0,0,0,0,0,0,0,0,1,8,0,8,0,1
320,1,0,1,1,0,1,0,0,0,0,4,11,0,11,1,2
321,1,0,0,0,0,0,0,1,1,0,3,12,5,7,0,2
322,0,0,0,1,0,0,0,0,0,0,1,15,8,7,0,2
323,0,1,1,1,2,0,0,0,0,0,5,6,0,6,0,1
324,1,0,0,0,0,0,0,0,0,1,2,5,0,5,0,0
325,0,0,0,0,3,0,0,0,0,0,3,3,0,3,0,0
326,0,0,1,0,0,1,0,0,1,0,3,5,0,5,0,1
327,0,0,0,0,1,0,0,2,0,0,3,12,6,6,0,2
328,0,0,0,0,0,0,0,1,0,0,1,6,0,6,0,0
329,0,0,0,0,0,1,0,1,0,1,3,8,0,8,0,1
330,0,0,0,1,0,0,0,0,0,1,2,5,0,5,0,0
331,0,0,0,0,1,3,1,1,0,1,7,6,0,6,0,1
332,0,0,0,0,0,0,0,1,1,0,2,8,0,8,0,1
333,0,1,1,0,0,0,0,0,0,0,2,5,0,5,0,0
334,1,0,0,0,0,0,0,2,0,0,3,13,10,3,0,2
335,1,0,1,0,0,0,0,0,0,0,2,6,0,6,0,1
336,1,0,0,0,0,0,0,0,0,1,2,7,0,7,0,1
337,0,2,0,0,0,0,0,1,3,1,7,3,0,3,0,1
338,0,1,1,1,1,0,0,0,0,0,4,4,4,0,0,1
339,0,1,0,0,0,1,0,1,0,0,3,7,0,7,0,1
340,0,0,1,0,0,0,0,0,1,1,3,6,0,6,0,1
341,0,1,1,0,0,0,0,0,1,1,4,2,0,2,0,0
342,0,0,0,0,1,0,0,0,0,0,1,8,0,8,0,1
343,1,0,1,1,0,0,0,1,1,1,6,4,0,4,0,1
344,0,2,0,0,0,0,1,0,0,0,3,6,0,6,0,1
345,1,0,0,0,1,1,0,0,0,0,3,7,0,7,0,1
346,1,1,1,1,0,0,0,0,1,1,6,3,0,3,0,1
347,0,1,1,1,1,1,1,1,1,1,9,2,0,2,0,1
348,0,1,2,1,0,1,2,0,0,0,7,4,0,4,0,1
349,0,0,0,0,0,0,0,2,0,0,2,10,0,10,0,1
350,1,0,0,0,1,0,0,1,0,0,3,8,0,8,0,1
351,0,0,0,0,0,0,0,0,0,1,1,15,7,8,0,2
352,0,0,0,0,0,0,0,1,0,0,1,9,0,9,0,1
353,2,0,0,0,0,0,0,1,0,0,3,5,0,5,0,1
354,0,1,0,0,0,0,0,0,0,0,1,7,0,7,0,1
355,0,1,4,0,0,0,0,0,0,0,5,1,0,1,0,0
356,0,0,0,1,0,2,0,0,0,0,3,6,0,6,0,1
357,0,0,0,1,0,0,0,0,0,0,1,6,0,6,0,0
358,0,1,1,1,1,1,0,0,0,0,5,3,0,3,0,1
359,0,0,0,0,0,0,0,1,1,0,2,5,0,5,0,0
360,0,0,0,1,1,0,0,0,0,0,2,5,0,5,0,0
361,2,0,0,0,0,0,0,1,0,0,3,6,0,6,0,1
362,0,0,0,1,0,0,0,1,0,1,3,13,5,8,0,2
363,0,0,1,1,0,0,0,0,0,1,3,5,0,5,0,1
364,0,0,0,1,0,0,0,0,0,1,2,6,0,6,0,1
365,2,0,1,0,0,1,1,1,0,0,6,3,0,3,0,1
366,1,1,0,0,0,0,0,0,0,1,3,5,0,5,0,1
367,0,2,2,2,0,0,1,0,0,1,8,1,1,0,0,1
368,0,0,0,0,1,0,0,1,0,1,3,7,0,7,0,1
369,1,0,0,0,0,0,1,0,0,0,2,4,0,4,0,0
370,2,1,1,0,2,0,1,3,0,0,10,1,0,1,0,1
371,0,0,0,0,0,0,0,0,0,0,0,11,0,11,1,1
372,0,0,1,0,0,1,0,0,1,0,3,7,0,7,0,1
373,0,0,1,0,0,0,0,0,1,0,2,8,8,0,0,1
374,1,0,0,0,0,0,0,0,0,1,2,8,0,8,0,1
375,0,1,0,0,0,0,0,0,0,0,1,7,0,7,0,1
376,0,0,0,0,1,0,0,0,0,0,1,15,7,8,0,2
377,0,1,0,0,0,0,0,1,0,0,2,7,0,7,0,1
378,1,0,2,0,0,0,0,0,0,1,4,4,0,4,0,1
379,0,1,1,0,0,0,0,0,0,0,2,8,0,8,0,1
380,0,0,0,1,1,0,0,0,0,1,3,7,0,7,0,1
381,0,1,0,0,0,0,0,0,0,0,1,8,0,8,0,1
382,1,1,0,0,0,0,0,0,0,0,2,14,8,6,0,2
383,0,4,0,0,0,0,0,0,0,0,4,5,0,5,0,1
384,0,0,1,0,0,0,0,1,0,0,2,7,0,7,0,1
385,1,0,0,0,1,0,0,0,0,0,2,4,0,4,0,0
386,1,0,0,0,0,0,1,0,0,0,2,9,0,9,0,1
387,0,0,0,1,0,1,0,0,0,0,2,8,0,8,0,1
388,0,1,1,0,1,0,1,0,0,0,4,4,0,4,0,1
389,0,1,1,0,0,0,0,0,0,0,2,9,0,9,0,1
390,1,0,0,0,0,1,0,0,1,0,3,6,0,6,0,1
391,0,0,0,0,1,0,1,0,0,1,3,11,5,6,0,2
392,0,0,0,1,2,0,1,0,0,0,4,5,0,5,0,1
